instrument,datetime,field,value
ETH-USD,2017-11-09,$open,308.6449890136719
ETH-USD,2017-11-09,$high,329.4519958496094
ETH-USD,2017-11-09,$low,307.0559997558594
ETH-USD,2017-11-09,$close,320.8840026855469
ETH-USD,2017-11-09,$volume,893249984.0
ETH-USD,2017-11-09,$ma5,
ETH-USD,2017-11-09,$ma10,
ETH-USD,2017-11-09,$ma20,
ETH-USD,2017-11-09,$ma30,
ETH-USD,2017-11-09,$ma60,
ETH-USD,2017-11-09,$ma120,
ETH-USD,2017-11-09,$ema5,320.8840026855469
ETH-USD,2017-11-09,$ema10,320.8840026855469
ETH-USD,2017-11-09,$ema20,320.8840026855469
ETH-USD,2017-11-09,$ema60,320.8840026855469
ETH-USD,2017-11-09,$ema12,320.8840026855469
ETH-USD,2017-11-09,$ema26,320.8840026855469
ETH-USD,2017-11-09,$macd,0.0
ETH-USD,2017-11-09,$macd_signal,0.0
ETH-USD,2017-11-09,$macd_hist,0.0
ETH-USD,2017-11-09,$vwap,319.13066609700525
ETH-USD,2017-11-10,$open,320.6709899902344
ETH-USD,2017-11-10,$high,324.7179870605469
ETH-USD,2017-11-10,$low,294.5419921875
ETH-USD,2017-11-10,$close,299.25299072265625
ETH-USD,2017-11-10,$volume,885985984.0
ETH-USD,2017-11-10,$ma5,
ETH-USD,2017-11-10,$ma10,
ETH-USD,2017-11-10,$ma20,
ETH-USD,2017-11-10,$ma30,
ETH-USD,2017-11-10,$ma60,
ETH-USD,2017-11-10,$ma120,
ETH-USD,2017-11-10,$ema5,313.67366536458337
ETH-USD,2017-11-10,$ema10,316.95109141956675
ETH-USD,2017-11-10,$ema20,318.8239063081287
ETH-USD,2017-11-10,$ema60,320.17478917856687
ETH-USD,2017-11-10,$ema12,317.556154691256
ETH-USD,2017-11-10,$ema26,319.2817055031105
ETH-USD,2017-11-10,$macd,-1.7255508118545322
ETH-USD,2017-11-10,$macd_signal,-0.34511016237090647
ETH-USD,2017-11-10,$macd_hist,-1.3804406494836257
ETH-USD,2017-11-10,$vwap,312.67728296273475
ETH-USD,2017-11-11,$open,298.58599853515625
ETH-USD,2017-11-11,$high,319.4530029296875
ETH-USD,2017-11-11,$low,298.1919860839844
ETH-USD,2017-11-11,$close,314.6809997558594
ETH-USD,2017-11-11,$volume,842300992.0
ETH-USD,2017-11-11,$ma5,
ETH-USD,2017-11-11,$ma10,
ETH-USD,2017-11-11,$ma20,
ETH-USD,2017-11-11,$ma30,
ETH-USD,2017-11-11,$ma60,
ETH-USD,2017-11-11,$ma120,
ETH-USD,2017-11-11,$ema5,314.0094434950087
ETH-USD,2017-11-11,$ema10,316.53834748071085
ETH-USD,2017-11-11,$ema20,318.42934377934114
ETH-USD,2017-11-11,$ema60,319.9946649351994
ETH-USD,2017-11-11,$ema12,317.1138231627334
ETH-USD,2017-11-11,$ema26,318.9409124847956
ETH-USD,2017-11-11,$macd,-1.8270893220621929
ETH-USD,2017-11-11,$macd_signal,-0.6415059943091638
ETH-USD,2017-11-11,$macd_hist,-1.185583327753029
ETH-USD,2017-11-11,$vwap,312.0661844975337
ETH-USD,2017-11-12,$open,314.69000244140625
ETH-USD,2017-11-12,$high,319.15301513671875
ETH-USD,2017-11-12,$low,298.51300048828125
ETH-USD,2017-11-12,$close,307.9079895019531
ETH-USD,2017-11-12,$volume,1613479936.0
ETH-USD,2017-11-12,$ma5,
ETH-USD,2017-11-12,$ma10,
ETH-USD,2017-11-12,$ma20,
ETH-USD,2017-11-12,$ma30,
ETH-USD,2017-11-12,$ma60,
ETH-USD,2017-11-12,$ma120,
ETH-USD,2017-11-12,$ema5,311.97562549732356
ETH-USD,2017-11-12,$ema10,314.96919148457306
ETH-USD,2017-11-12,$ema20,317.42731003863753
ETH-USD,2017-11-12,$ema60,319.5983804947651
ETH-USD,2017-11-12,$ema12,315.6975410610749
ETH-USD,2017-11-12,$ema26,318.123658930511
ETH-USD,2017-11-12,$macd,-2.426117869436098
ETH-USD,2017-11-12,$macd_signal,-0.9984283693345506
ETH-USD,2017-11-12,$macd_hist,-1.4276895001015473
ETH-USD,2017-11-12,$vwap,310.71691828537877
ETH-USD,2017-11-13,$open,307.0249938964844
ETH-USD,2017-11-13,$high,328.4150085449219
ETH-USD,2017-11-13,$low,307.0249938964844
ETH-USD,2017-11-13,$close,316.71600341796875
ETH-USD,2017-11-13,$volume,1041889984.0
ETH-USD,2017-11-13,$ma5,
ETH-USD,2017-11-13,$ma10,
ETH-USD,2017-11-13,$ma20,
ETH-USD,2017-11-13,$ma30,
ETH-USD,2017-11-13,$ma60,
ETH-USD,2017-11-13,$ma120,
ETH-USD,2017-11-13,$ema5,313.555751470872
ETH-USD,2017-11-13,$ema10,315.2867936542813
